,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
59,Mitte,52.51674,13.36679,Parkhaus Sony Center,52.509409910668836,13.373798530169037,944,Parking
60,Mitte,52.51674,13.36679,Parking,52.5000996239137,13.362937637339376,1870,Parking
61,Mitte,52.51674,13.36679,Busparkplatz Strasse Des 17. Juni,52.51770189241197,13.37413875452397,509,Parking
62,Mitte,52.51674,13.36679,Parkhaus Ludwig-Beck-Straße,52.508788,13.373066,982,Parking
63,Mitte,52.51674,13.36679,Interparking,52.51103863,13.37929094,1058,Parking
64,Mitte,52.51674,13.36679,Q-Park Unter den Linden/ Staatsoper,52.517017,13.39519599,1924,Parking
65,Mitte,52.51674,13.36679,PARK ONE Tiefgarage Excelsior Haus | Anhalter Bahnhof,52.5031111,13.3844918,1933,Parking
66,Mitte,52.51674,13.36679,ampido Parkplatz Gendarmenmarkt,52.5116118,13.391932,1796,Parking
67,Mitte,52.51674,13.36679,Fahrradstellplatz Haus D,52.529208,13.373479,1459,Parking
68,Neukölln,52.4802,13.43364,Parkhaus Neukölln Arcaden,52.481961,13.430913,269,Parking
69,Neukölln,52.4802,13.43364,Taxihalte Hermannplatz,52.488522,13.424808,1103,Parking
70,Neukölln,52.4802,13.43364,P+R S Tempelhof,52.46581542082027,13.419324856922389,1872,Parking
71,Neukölln,52.4802,13.43364,Garage,52.47413058614697,13.453784719836591,1523,Parking
72,Neukölln,52.4802,13.43364,Parkhaus am Stadtbad Neukölln,52.47944132564045,13.440166708439731,450,Parking
73,Neukölln,52.4802,13.43364,Kfz-Werkstatt Schneider,52.467194,13.442252,1561,Parking
74,Pankow,52.57105,13.40497,Garage,52.58644166364027,13.407483100891113,1721,Parking
75,Reinickendorf,52.56755,13.33165,Dein Stellplatz GmbH,52.56663786961346,13.326789367958959,344,Parking
76,Reinickendorf,52.56755,13.33165,Interparking,52.56248652,13.32956866,580,Parking
77,Reinickendorf,52.56755,13.33165,Taxihalte Paracelsus,52.57483735449548,13.347595251226752,1349,Parking
78,Reinickendorf,52.56755,13.33165,CONTIPARK,52.56248,13.329389,584,Parking
79,Spandau,52.55009,13.200356,Interparking,52.534837,13.201919,1701,Parking
80,Spandau,52.55009,13.200356,CONTIPARK Parkhaus Rathaus Spandau,52.535371,13.202606,1645,Parking
81,Spandau,52.55009,13.200356,Wohnmobilstellplatz,52.5529502,13.200486,318,Parking
82,Spandau,52.55009,13.200356,CONTIPARK Parkhaus Spandau Altstädter Ring,52.538975,13.201232,1238,Parking
83,Spandau,52.55009,13.200356,Autovermietung KIEHL,52.554776,13.207327,703,Parking
84,Tempelhof-Schöneberg,52.44763,13.38535,Tiefgarage beim Ameisenparkplatz,52.45315173773782,13.389709554202419,682,Parking
85,Tempelhof-Schöneberg,52.44763,13.38535,"Kurfürstendamm/Karlsruherstr, Berlin-Halensee",52.45926133499958,13.387917791484679,1306,Parking
